"","man_hud","cpi","pop_hudson","man_hud_covid","cpi_2020_06","regional_emp","month"
"Sep 2028",2982.19312288157,335.684846400373,725.54774586223,2949.40217530606,299.173164242294,9687.55453143227,2028-09-01
"Oct 2028",2983.695366,336.3066917,725.9243331,2950.901499,299.672,9691.278,2028-10-01
"Nov 2028",2985.24177560329,336.879132292531,726.303841613358,2952.42820494573,300.168001165284,9695.095415257,2028-11-01
"Dec 2028",2986.82530321371,337.424011100504,726.686036753376,2953.97884426269,300.661230151114,9698.98908241307,2028-12-01
"Jan 2029",2988.434959,337.9743623,727.0699223,2955.549159,301.152,9702.929,2029-01-01
"Feb 2029",2990.06137046046,338.554621933458,727.454701541362,2957.13643779101,301.64104282297,9706.88897245093,2029-02-01
"Mar 2029",2991.70163441173,339.154833508726,727.840375798341,2958.74415560613,302.130767005106,9710.85802780434,2029-03-01
"Apr 2029",2993.354465,339.7564424,728.2271459,2960.377334,302.624,9714.829,2029-04-01
"May 2029",2995.01821374005,340.347347647708,728.61428351749,2962.03918014947,303.122827542835,9718.79588012442,2029-05-01
"Jun 2029",2996.68978162087,340.941262957188,728.997343690299,2963.72564372019,303.626368495133,9722.75728785105,2029-06-01
"Jul 2029",2998.365707,341.5583557,729.3709523,2965.43086,304.133,9726.713,2029-07-01
"Aug 2029",3000.04449883859,342.209643723854,729.731829288678,2967.15069346296,304.641165524207,9730.6660626069,2029-08-01
"Sep 2029",3001.73254851221,342.869546781043,730.085070840464,2968.88792532793,305.149573829179,9734.63259856925,2029-09-01
"Oct 2029",3003.438218,343.5033351,730.4378672,2970.647066,305.657,9738.632,2029-10-01
"Nov 2029",3005.16792979446,344.088108519835,730.795586235205,2972.43078414685,306.162954804779,9742.68075833684,2029-11-01
"Dec 2029",3006.92034844142,344.648285322346,731.156306307105,2974.2343814866,306.669891743709,9746.78376231639,2029-12-01
"Jan 2030",3008.692199,345.2201134,731.5162834,2976.051318,307.181,9750.943,2030-01-01
"Feb 2030",3010.47982168725,345.829738396804,731.873668759389,2977.87776902373,307.698422664081,9755.15120034203,2030-02-01
"Mar 2030",3012.27801735177,346.46289696291,732.234194675561,2979.72077131826,308.220118455246,9759.3640558689,2030-03-01
"Apr 2030",3014.081202,347.0952235,732.6054887,2981.590077,308.743,9763.528,2030-04-01
"May 2030",3015.88711167873,347.710248904057,732.988413653164,2983.49243105454,309.264650835191,9767.6115143691,2030-05-01
"Jun 2030",3017.70676259597,348.32309004824,733.356773431394,2985.42254994409,309.785338139014,9771.6712734673,2030-06-01
"Jul 2030",3019.554491,348.9567603,733.6776072,2987.372143,310.306,9775.786,2030-07-01
"Aug 2030",3021.43945878299,349.62457443141,733.929142898324,2989.33414401737,310.82727029145,9780.01081625562,2030-08-01
"Sep 2030",3023.35013041252,350.301052833022,734.134363561827,2991.30638464615,311.348566025737,9784.30644285451,2030-09-01
"Oct 2030",3025.269796,350.9510173,734.327441,2993.287921,311.869,9788.61,2030-10-01
"Nov 2030",3027.18570452262,351.551223333261,734.535392909095,2995.2781026908,312.388267999008,9792.87710949729,2030-11-01
"Dec 2030",3029.10094042062,352.126161256712,734.75662053241,2997.27745332319,312.908397758041,9797.13739955911,2030-12-01
